SampleID,Helcococcus_seattlensis,sample_site,add_0c,facility,decomp_stage,host_subject_id
soil.hip.CMU.17.04.2017.03.day12,0,soil.hip,162.45,CMU,active,Mr 17-04
soil.hip.CMU.17.04.2017.03.day7,0,soil.hip,76.65,CMU,active,Mr 17-04
soil.face.SHSU.2016.073.2016.11.14.day11,0,soil.face,189.05,SHSU,active,2016.073
soil.hip.SHSU.2016.073.2016.11.06.day3,0,soil.hip,40.6,SHSU,early,2016.073
soil.hip.SHSU.2016.072.2016.11.04.day1,0,soil.hip,0,SHSU,placement,2016.072
soil.face.SHSU.2016.072.2016.11.15.day12,0,soil.face,209.6,SHSU,advanced,2016.072
soil.face.SHSU.2016.076.2016.11.29.day8,0,soil.face,116.1,SHSU,active,2016.076
soil.face.SHSU.2016.076.2016.12.03.day12,0.001175214,soil.face,159.15,SHSU,active,2016.076
soil.face.SHSU.2016.072.2016.11.09.day6,0,soil.face,100.6,SHSU,active,2016.072
soil.face.CMU.17.04.2017.03.day4,0,soil.face,34.15,CMU,early,Mr 17-04
soil.hip.SHSU.2016.072.2016.11.23.day20,0.02146986,soil.hip,342.45,SHSU,advanced,2016.072
soil.hip.SHSU.2016.073.2016.11.09.day6,0,soil.hip,100.6,SHSU,active,2016.073
soil.face.SHSU.2016.072.2016.11.19.day16,0.001480975,soil.face,281,SHSU,advanced,2016.072
soil.hip.SHSU.2016.076.2016.11.27.day6,0.007601122,soil.hip,80.3,SHSU,active,2016.076
soil.face.SHSU.2016.076.2016.12.07.day16,0,soil.face,203,SHSU,advanced,2016.076
soil.face.SHSU.2016.076.2016.12.10.day19,0.000164474,soil.face,219.45,SHSU,advanced,2016.076
soil.face.SHSU.2016.072.2016.11.21.day18,0.002892263,soil.face,305.2,SHSU,advanced,2016.072
soil.face.CMU.17.04.2017.03.day2,0,soil.face,12.5,CMU,early,Mr 17-04
soil.hip.CMU.17.04.2017.03.day8,0,soil.hip,92.2,CMU,active,Mr 17-04
soil.face.SHSU.2016.076.2016.12.05.day14,0.000709912,soil.face,178.6,SHSU,active,2016.076
soil.face.SHSU.2016.076.2016.12.08.day17,0.000364113,soil.face,210.25,SHSU,advanced,2016.076
soil.face.SHSU.206.072.2016.11.16.day13,0.000358706,soil.face,230.7,SHSU,advanced,2016.072
