id,(Intercept),add_0c_groupactive,add_0c_groupadvanced,add_0c_groupearly
656,3.87497795701342e-5,4.451237560182937e-5,5.6862249319875447e-5,4.383269624930134e-5
2404,5.732858750546673e-5,6.163193320420173e-5,6.23586609900118e-5,6.358149617940374e-5
476,2.452264647594457e-4,2.6461571671499025e-4,2.6869955352059634e-4,2.5818471276351277e-4
478,2.6501402689322495e-4,2.8278511913152135e-4,2.8184117907248255e-4,2.9204230690377573e-4
2407,1.1613085404167264e-5,1.4642298028960246e-5,1.560429278057098e-5,1.957425269189955e-5
3316,1.1613085404174655e-5,3.6491449602463285e-5,6.885792857140332e-5,1.2489424748705595e-5
2449,2.2181567275792642e-4,2.325721112485343e-4,2.344391759050006e-4,2.3550974471202852e-4
573,1.7560932889677862e-5,2.1383497205705158e-5,2.075396484492868e-5,2.1566130183917215e-5
513,2.561195090260207e-5,2.9153466185255797e-5,3.004336379073286e-5,2.920110688733563e-5
1063,2.3505082218005237e-5,2.5872266054977558e-5,2.7238947706076016e-5,2.5903042207759825e-5
8970,3.310687610183022e-4,3.389637526702498e-4,3.409977597379413e-4,3.4194518205244855e-4
516,6.929805354780352e-5,7.420787266022865e-5,7.443884149111937e-5,7.524541540753334e-5
