id	sample_site	host_subject_id	observed_otus	predicted observed_otus	residual	add_0c
soil.ctrl.UTK.K016.10.2017.05.25.day1	Control Soil	UTK.K016.10	1545	1177.927649	139.4545663	0
soil.ctrl.UTK.K016.10.2017.05.26.day2	Control Soil	UTK.K016.10	1526	1179.39372	118.9884952	18.3
soil.ctrl.UTK.K016.10.2017.05.27.day3	Control Soil	UTK.K016.10	1348	1181.252346	-60.87013049	41.5
soil.ctrl.UTK.K016.10.2017.05.28.day4	Control Soil	UTK.K016.10	1484	1182.9187	73.46351544	62.3
soil.ctrl.UTK.K016.10.2017.05.29.day5	Control Soil	UTK.K016.10	1393	1184.673178	-19.29096312	84.2
soil.ctrl.UTK.K016.10.2017.05.30.day6	Control Soil	UTK.K016.10	1450	1186.403623	35.97859227	105.8
soil.ctrl.UTK.K016.10.2017.05.31.day7	Control Soil	UTK.K016.10	1462	1188.053954	46.32826084	126.4
soil.ctrl.UTK.K016.10.2017.06.01.day8	Control Soil	UTK.K016.10	1428	1189.824456	10.55775964	148.5
soil.ctrl.UTK.K016.10.2017.06.02.day9	Control Soil	UTK.K016.10	960	1191.570923	-459.1887076	170.3
soil.ctrl.UTK.K016.10.2017.06.03.day10	Control Soil	UTK.K016.10	1082	1193.413526	-339.0313107	193.3
soil.ctrl.UTK.K016.10.2017.06.04.day11	Control Soil	UTK.K016.10	1283	1195.168004	-139.7857892	215.2
soil.ctrl.UTK.K016.10.2017.06.05.day12	Control Soil	UTK.K016.10	1306	1196.882426	-118.5002112	236.6
soil.ctrl.UTK.K016.10.2017.06.06.day13	Control Soil	UTK.K016.10	1530	1198.644916	103.7372989	258.6
